order_item_id,order_id,product_id,quantity,unit_price,discount_pct,line_total
OI-0000154,OR-000053,SKU-0017,5,9.51,0.10,42.80
OI-0000155,OR-000053,SKU-0031,1,13.79,0.00,13.79
OI-0000156,OR-000054,SKU-0015,6,11.18,0.00,67.08
OI-0000157,OR-000054,SKU-0060,6,23.25,0.00,139.50
OI-0000158,OR-000054,SKU-0031,2,13.79,0.00,27.58
OI-0000159,OR-000055,SKU-0028,5,34.65,0.00,173.25
OI-0000160,OR-000055,SKU-0005,3,42.53,0.05,121.21
OI-0000161,OR-000056,SKU-0039,5,46.71,0.10,210.20
OI-0000162,OR-000056,SKU-0034,5,24.16,0.00,120.80
OI-0000163,OR-000056,SKU-0015,6,11.18,0.00,67.08
OI-0000164,OR-000056,SKU-0020,4,31.62,0.05,120.16
OI-0000166,OR-000058,SKU-0026,1,21.39,0.05,20.32
OI-0000167,OR-000058,SKU-0030,6,47.21,0.00,283.26
OI-0000168,OR-000058,SKU-0055,4,7.92,0.05,30.10
OI-0000174,OR-000060,SKU-0007,6,39.44,0.05,224.81
OI-0000175,OR-000060,SKU-0035,1,22.53,0.00,22.53
OI-0000176,OR-000060,SKU-0052,5,8.94,0.10,40.23
OI-0000177,OR-000061,SKU-0052,6,8.94,0.05,50.96
OI-0000178,OR-000061,SKU-0013,3,12.69,0.00,38.07
OI-0000183,OR-000063,SKU-0017,3,9.51,0.05,27.10
OI-0000184,OR-000063,SKU-0023,3,8.40,0.15,21.42
OI-0000185,OR-000063,SKU-0041,2,19.76,0.15,33.59
OI-0000186,OR-000063,SKU-0047,4,42.92,0.00,171.68
OI-0000187,OR-000063,SKU-0048,4,24.84,0.00,99.36
OI-0000194,OR-000066,SKU-0010,1,37.20,0.05,35.34
OI-0000195,OR-000067,SKU-0006,5,20.40,0.10,91.80
OI-0000198,OR-000069,SKU-0007,6,39.44,0.00,236.64
OI-0000199,OR-000069,SKU-0027,6,10.49,0.00,62.94
OI-0000200,OR-000069,SKU-0055,3,7.92,0.10,21.38
OI-0000222,OR-000078,SKU-0044,6,26.37,0.10,142.40
OI-0000223,OR-000078,SKU-0001,5,14.26,0.00,71.30
OI-0000224,OR-000078,SKU-0025,6,33.88,0.00,203.28
OI-0000225,OR-000078,SKU-0002,2,15.08,0.00,30.16
OI-0000226,OR-000078,SKU-0051,5,14.92,0.00,74.60
OI-0000227,OR-000079,SKU-0005,6,42.53,0.00,255.18
OI-0000228,OR-000079,SKU-0015,4,11.18,0.00,44.72
OI-0000229,OR-000079,SKU-0021,4,3.76,0.00,15.04
OI-0000230,OR-000079,SKU-0030,5,47.21,0.00,236.05
OI-0000232,OR-000081,SKU-0010,4,37.20,0.00,148.80
OI-0000233,OR-000081,SKU-0020,6,31.62,0.05,180.23
OI-0000234,OR-000081,SKU-0054,4,31.89,0.05,121.18
OI-0000235,OR-000081,SKU-0046,1,40.95,0.00,40.95
OI-0000244,OR-000084,SKU-0012,1,40.02,0.00,40.02
OI-0000245,OR-000084,SKU-0033,1,37.17,0.10,33.45
OI-0000246,OR-000084,SKU-0004,5,35.25,0.15,149.81
OI-0000247,OR-000084,SKU-0056,4,33.56,0.00,134.24
OI-0000254,OR-000088,SKU-0031,6,13.79,0.05,78.60
OI-0000255,OR-000088,SKU-0033,1,37.17,0.00,37.17
OI-0000256,OR-000088,SKU-0025,3,33.88,0.00,101.64
OI-0000261,OR-000090,SKU-0046,3,40.95,0.05,116.71
OI-0000262,OR-000090,SKU-0011,1,30.63,0.10,27.57
OI-0000263,OR-000090,SKU-0011,2,30.63,0.00,61.26
OI-0000264,OR-000091,SKU-0046,4,40.95,0.00,163.80
OI-0000265,OR-000091,SKU-0032,6,46.35,0.00,278.10
OI-0000267,OR-000093,SKU-0039,1,46.71,0.05,44.37
OI-0000268,OR-000093,SKU-0020,6,31.62,0.00,189.72
OI-0000269,OR-000093,SKU-0004,6,35.25,0.00,211.50
OI-0000270,OR-000093,SKU-0016,4,46.17,0.05,175.45
OI-0000271,OR-000093,SKU-0002,5,15.08,0.05,71.63
OI-0000276,OR-000095,SKU-0054,5,31.89,0.00,159.45
OI-0000277,OR-000095,SKU-0011,2,30.63,0.00,61.26
OI-0000283,OR-000097,SKU-0042,6,36.89,0.10,199.21
OI-0000284,OR-000098,SKU-0017,5,9.51,0.05,45.17
OI-0000285,OR-000099,SKU-0023,5,8.40,0.15,35.70
OI-0000286,OR-000099,SKU-0023,2,8.40,0.15,14.28
OI-0000287,OR-000099,SKU-0033,6,37.17,0.00,223.02
OI-0000288,OR-000099,SKU-0024,5,21.04,0.05,99.94
OI-0000289,OR-000099,SKU-0050,6,46.08,0.10,248.83
OI-0000290,OR-000100,SKU-0002,1,15.08,0.05,14.33
OI-0000298,OR-000103,SKU-0017,4,9.51,0.05,36.14
OI-0000299,OR-000103,SKU-0022,3,26.86,0.00,80.58
OI-0000300,OR-000103,SKU-0027,4,10.49,0.10,37.76
OI-0000301,OR-000103,SKU-0022,6,26.86,0.05,153.10
OI-0000302,OR-000103,SKU-0048,6,24.84,0.10,134.14
OI-0000303,OR-000104,SKU-0035,6,22.53,0.10,121.66
OI-0000304,OR-000104,SKU-0028,1,34.65,0.05,32.92
OI-0000305,OR-000104,SKU-0045,4,16.47,0.00,65.88
OI-0000306,OR-000104,SKU-0036,1,13.87,0.10,12.48
OI-0000307,OR-000104,SKU-0047,4,42.92,0.00,171.68
OI-0000310,OR-000106,SKU-0018,2,3.17,0.10,5.71
OI-0000316,OR-000108,SKU-0052,5,8.94,0.10,40.23
OI-0000317,OR-000108,SKU-0029,2,4.31,0.15,7.33
OI-0000332,OR-000114,SKU-0016,1,46.17,0.00,46.17
OI-0000333,OR-000114,SKU-0058,5,45.65,0.00,228.25
OI-0000334,OR-000114,SKU-0022,6,26.86,0.10,145.04
OI-0000341,OR-000118,SKU-0004,1,35.25,0.15,29.96
OI-0000363,OR-000127,SKU-0040,5,45.53,0.15,193.50
OI-0000371,OR-000130,SKU-0015,1,11.18,0.00,11.18
OI-0000372,OR-000131,SKU-0060,3,23.25,0.15,59.29
OI-0000373,OR-000131,SKU-0052,3,8.94,0.10,24.14
OI-0000374,OR-000131,SKU-0056,6,33.56,0.00,201.36
OI-0000380,OR-000134,SKU-0054,1,31.89,0.00,31.89
OI-0000381,OR-000134,SKU-0058,6,45.65,0.00,273.90
OI-0000382,OR-000134,SKU-0006,6,20.40,0.15,104.04
OI-0000383,OR-000134,SKU-0012,2,40.02,0.00,80.04
OI-0000384,OR-000134,SKU-0036,4,13.87,0.00,55.48
OI-0000391,OR-000137,SKU-0038,6,21.08,0.10,113.83
OI-0000394,OR-000139,SKU-0045,5,16.47,0.00,82.35
OI-0000395,OR-000139,SKU-0049,4,15.18,0.15,51.61
OI-0000396,OR-000139,SKU-0058,3,45.65,0.05,130.10
OI-0000397,OR-000139,SKU-0031,5,13.79,0.15,58.61
OI-0000398,OR-000139,SKU-0007,3,39.44,0.15,100.57
OI-0000409,OR-000142,SKU-0008,2,1.97,0.15,3.35
OI-0000410,OR-000142,SKU-0040,4,45.53,0.15,154.80
OI-0000411,OR-000142,SKU-0050,4,46.08,0.00,184.32
OI-0000412,OR-000142,SKU-0016,6,46.17,0.00,277.02
OI-0000414,OR-000144,SKU-0047,2,42.92,0.00,85.84
OI-0000415,OR-000144,SKU-0048,4,24.84,0.00,99.36
OI-0000416,OR-000145,SKU-0009,3,33.65,0.15,85.81
OI-0000417,OR-000145,SKU-0045,5,16.47,0.05,78.23
OI-0000418,OR-000145,SKU-0029,6,4.31,0.00,25.86
OI-0000419,OR-000146,SKU-0007,1,39.44,0.05,37.47
OI-0000420,OR-000146,SKU-0026,1,21.39,0.10,19.25
OI-0000421,OR-000146,SKU-0010,6,37.20,0.00,223.20
OI-0000422,OR-000146,SKU-0013,4,12.69,0.15,43.15
OI-0000423,OR-000146,SKU-0007,6,39.44,0.10,212.98
OI-0000428,OR-000148,SKU-0050,6,46.08,0.00,276.48
OI-0000429,OR-000148,SKU-0037,4,35.00,0.10,126.00
OI-0000430,OR-000148,SKU-0006,2,20.40,0.15,34.68
OI-0000436,OR-000151,SKU-0040,3,45.53,0.00,136.59
OI-0000437,OR-000151,SKU-0058,1,45.65,0.00,45.65
OI-0000438,OR-000151,SKU-0058,2,45.65,0.00,91.30
OI-0000443,OR-000153,SKU-0030,4,47.21,0.00,188.84
OI-0000449,OR-000155,SKU-0020,5,31.62,0.00,158.10
OI-0000450,OR-000155,SKU-0048,4,24.84,0.15,84.46
OI-0000451,OR-000155,SKU-0038,6,21.08,0.15,107.51
OI-0000452,OR-000156,SKU-0049,4,15.18,0.10,54.65
OI-0000453,OR-000156,SKU-0028,1,34.65,0.10,31.18
OI-0000454,OR-000156,SKU-0038,6,21.08,0.00,126.48
OI-0000459,OR-000158,SKU-0057,2,11.57,0.05,21.98
OI-0000460,OR-000159,SKU-0003,2,8.35,0.00,16.70
OI-0000461,OR-000159,SKU-0033,6,37.17,0.00,223.02
OI-0000462,OR-000159,SKU-0011,6,30.63,0.15,156.21
OI-0000469,OR-000162,SKU-0032,5,46.35,0.15,196.99
OI-0000470,OR-000162,SKU-0040,5,45.53,0.10,204.89
OI-0000471,OR-000162,SKU-0039,4,46.71,0.10,168.16
OI-0000472,OR-000162,SKU-0015,6,11.18,0.00,67.08
OI-0000473,OR-000163,SKU-0020,4,31.62,0.10,113.83
OI-0000481,OR-000167,SKU-0060,6,23.25,0.00,139.50
OI-0000484,OR-000169,SKU-0059,5,29.19,0.15,124.06
OI-0000485,OR-000169,SKU-0018,5,3.17,0.10,14.27
OI-0000486,OR-000169,SKU-0029,6,4.31,0.00,25.86
OI-0000487,OR-000169,SKU-0023,5,8.40,0.15,35.70
OI-0000488,OR-000169,SKU-0059,2,29.19,0.15,49.62
OI-0000489,OR-000170,SKU-0038,5,21.08,0.05,100.13
OI-0000490,OR-000170,SKU-0028,4,34.65,0.00,138.60
OI-0000491,OR-000170,SKU-0038,2,21.08,0.05,40.05
OI-0000492,OR-000170,SKU-0030,2,47.21,0.15,80.26
OI-0000493,OR-000171,SKU-0026,2,21.39,0.10,38.50
OI-0000494,OR-000171,SKU-0039,3,46.71,0.00,140.13
OI-0000495,OR-000171,SKU-0042,6,36.89,0.00,221.34
OI-0000496,OR-000172,SKU-0058,1,45.65,0.05,43.37
OI-0000497,OR-000173,SKU-0008,3,1.97,0.00,5.91
OI-0000498,OR-000174,SKU-0043,6,47.93,0.00,287.58
OI-0000499,OR-000175,SKU-0013,3,12.69,0.00,38.07
OI-0000500,OR-000175,SKU-0007,3,39.44,0.00,118.32
OI-0000501,OR-000176,SKU-0059,1,29.19,0.00,29.19
OI-0000502,OR-000176,SKU-0011,6,30.63,0.00,183.78
OI-0000503,OR-000177,SKU-0035,5,22.53,0.10,101.39
OI-0000504,OR-000177,SKU-0010,2,37.20,0.00,74.40
OI-0000505,OR-000178,SKU-0019,1,40.98,0.00,40.98
OI-0000506,OR-000178,SKU-0010,4,37.20,0.00,148.80
OI-0000507,OR-000179,SKU-0013,1,12.69,0.00,12.69
OI-0000508,OR-000179,SKU-0014,6,43.57,0.10,235.28
OI-0000509,OR-000179,SKU-0005,1,42.53,0.15,36.15
OI-0000518,OR-000183,SKU-0013,2,12.69,0.15,21.57
OI-0000519,OR-000183,SKU-0040,4,45.53,0.15,154.80
OI-0000520,OR-000184,SKU-0011,5,30.63,0.00,153.15
OI-0000521,OR-000184,SKU-0027,1,10.49,0.05,9.97
OI-0000522,OR-000184,SKU-0012,4,40.02,0.00,160.08
OI-0000523,OR-000185,SKU-0006,1,20.40,0.05,19.38
OI-0000524,OR-000185,SKU-0037,1,35.00,0.05,33.25
OI-0000525,OR-000186,SKU-0057,6,11.57,0.05,65.95
OI-0000526,OR-000186,SKU-0026,6,21.39,0.05,121.92
OI-0000533,OR-000189,SKU-0033,2,37.17,0.00,74.34
OI-0000534,OR-000189,SKU-0024,5,21.04,0.05,99.94
OI-0000535,OR-000189,SKU-0025,3,33.88,0.15,86.39
OI-0000536,OR-000189,SKU-0041,1,19.76,0.00,19.76
OI-0000537,OR-000189,SKU-0041,3,19.76,0.10,53.35
OI-0000539,OR-000191,SKU-0051,5,14.92,0.00,74.60
OI-0000540,OR-000191,SKU-0001,5,14.26,0.00,71.30
OI-0000541,OR-000191,SKU-0002,4,15.08,0.05,57.30
OI-0000542,OR-000191,SKU-0030,2,47.21,0.00,94.42
OI-0000543,OR-000191,SKU-0046,1,40.95,0.00,40.95
OI-0000544,OR-000192,SKU-0044,6,26.37,0.10,142.40
OI-0000545,OR-000193,SKU-0020,3,31.62,0.10,85.37
OI-0000546,OR-000193,SKU-0046,4,40.95,0.00,163.80
OI-0000547,OR-000193,SKU-0026,6,21.39,0.10,115.51
OI-0000551,OR-000195,SKU-0011,6,30.63,0.15,156.21
OI-0000552,OR-000195,SKU-0032,2,46.35,0.05,88.06
OI-0000553,OR-000195,SKU-0048,3,24.84,0.05,70.79
OI-0000555,OR-000197,SKU-0003,3,8.35,0.10,22.54
OI-0000556,OR-000197,SKU-0014,4,43.57,0.10,156.85
OI-0000557,OR-000197,SKU-0016,3,46.17,0.10,124.66
OI-0000558,OR-000198,SKU-0010,5,37.20,0.00,186.00
OI-0000559,OR-000198,SKU-0053,2,10.85,0.00,21.70
OI-0000560,OR-000198,SKU-0058,2,45.65,0.10,82.17
OI-0000561,OR-000199,SKU-0002,5,15.08,0.00,75.40
OI-0000562,OR-000199,SKU-0060,3,23.25,0.15,59.29
OI-0000563,OR-000199,SKU-0034,1,24.16,0.05,22.95
OI-0000564,OR-000199,SKU-0004,3,35.25,0.00,105.75
OI-0000565,OR-000199,SKU-0043,4,47.93,0.00,191.72
OI-0000566,OR-000200,SKU-0043,1,47.93,0.15,40.74
OI-0000567,OR-000200,SKU-0047,2,42.92,0.00,85.84
OI-0000568,OR-000200,SKU-0047,5,42.92,0.00,214.60
OI-0000569,OR-000200,SKU-0049,1,15.18,0.00,15.18
OI-0000570,OR-000200,SKU-0030,3,47.21,0.00,141.63
OI-0000583,OR-000204,SKU-0056,6,33.56,0.10,181.22
OI-0000589,OR-000208,SKU-0025,1,33.88,0.00,33.88
OI-0000590,OR-000208,SKU-0028,1,34.65,0.05,32.92
OI-0000591,OR-000209,SKU-0046,4,40.95,0.00,163.80
OI-0000592,OR-000209,SKU-0023,4,8.40,0.00,33.60
OI-0000593,OR-000209,SKU-0054,2,31.89,0.10,57.40
OI-0000594,OR-000209,SKU-0056,4,33.56,0.00,134.24
OI-0000595,OR-000209,SKU-0048,6,24.84,0.00,149.04
OI-0000596,OR-000210,SKU-0051,3,14.92,0.05,42.52
OI-0000597,OR-000210,SKU-0035,5,22.53,0.10,101.39
OI-0000598,OR-000210,SKU-0052,5,8.94,0.10,40.23
OI-0000599,OR-000210,SKU-0044,3,26.37,0.00,79.11
OI-0000600,OR-000211,SKU-0058,6,45.65,0.05,260.20
OI-0000601,OR-000211,SKU-0055,4,7.92,0.05,30.10
OI-0000602,OR-000211,SKU-0056,1,33.56,0.00,33.56
OI-0000603,OR-000211,SKU-0047,4,42.92,0.00,171.68
OI-0000605,OR-000213,SKU-0025,1,33.88,0.15,28.80
OI-0000606,OR-000213,SKU-0024,6,21.04,0.00,126.24
OI-0000607,OR-000213,SKU-0033,4,37.17,0.15,126.38
OI-0000608,OR-000213,SKU-0045,5,16.47,0.00,82.35
OI-0000609,OR-000214,SKU-0049,1,15.18,0.00,15.18
OI-0000610,OR-000214,SKU-0015,3,11.18,0.15,28.51
OI-0000611,OR-000214,SKU-0055,6,7.92,0.00,47.52
OI-0000612,OR-000214,SKU-0052,3,8.94,0.10,24.14
OI-0000613,OR-000214,SKU-0060,4,23.25,0.00,93.00
OI-0000614,OR-000215,SKU-0056,3,33.56,0.00,100.68
OI-0000615,OR-000215,SKU-0014,2,43.57,0.00,87.14
OI-0000616,OR-000216,SKU-0043,4,47.93,0.00,191.72
OI-0000617,OR-000216,SKU-0023,1,8.40,0.00,8.40
OI-0000618,OR-000216,SKU-0040,1,45.53,0.00,45.53
OI-0000619,OR-000217,SKU-0019,4,40.98,0.00,163.92
OI-0000627,OR-000220,SKU-0010,4,37.20,0.00,148.80
OI-0000628,OR-000220,SKU-0029,1,4.31,0.15,3.66
OI-0000634,OR-000222,SKU-0034,6,24.16,0.00,144.96
OI-0000635,OR-000222,SKU-0021,5,3.76,0.10,16.92
OI-0000636,OR-000223,SKU-0036,5,13.87,0.00,69.35
OI-0000637,OR-000223,SKU-0012,4,40.02,0.00,160.08
OI-0000638,OR-000223,SKU-0021,5,3.76,0.00,18.80
OI-0000653,OR-000227,SKU-0025,3,33.88,0.15,86.39
OI-0000654,OR-000228,SKU-0016,5,46.17,0.00,230.85
OI-0000655,OR-000228,SKU-0032,3,46.35,0.00,139.05
OI-0000656,OR-000228,SKU-0049,4,15.18,0.00,63.89
OI-0000657,OR-000228,SKU-0018,2,3.17,0.00,6.34
OI-0000658,OR-000228,SKU-0057,1,11.57,0.15,9.83
OI-0000667,OR-000231,SKU-0044,6,26.37,0.00,158.22
OI-0000668,OR-000231,SKU-0059,3,29.19,0.00,87.57
OI-0000673,OR-000233,SKU-0025,1,33.88,0.00,33.88
OI-0000674,OR-000234,SKU-0053,5,10.85,0.00,54.25
OI-0000675,OR-000235,SKU-0003,6,8.35,0.05,47.59
OI-0000676,OR-000235,SKU-0016,2,46.17,0.00,92.34
OI-0000677,OR-000235,SKU-0008,4,1.97,0.10,7.09
OI-0000678,OR-000235,SKU-0033,3,37.17,0.05,105.93
OI-0000682,OR-000237,SKU-0019,4,40.98,0.10,147.53
OI-0000683,OR-000237,SKU-0026,5,21.39,0.00,106.95
OI-0000684,OR-000238,SKU-0019,3,40.98,0.00,122.94
OI-0000685,OR-000239,SKU-0044,2,26.37,0.00,52.74
OI-0000686,OR-000239,SKU-0045,2,16.47,0.15,28.00
OI-0000687,OR-000239,SKU-0005,6,42.53,0.00,255.18
OI-0000688,OR-000239,SKU-0022,2,26.86,0.15,45.66
OI-0000690,OR-000241,SKU-0046,5,40.95,0.00,204.75
OI-0000691,OR-000241,SKU-0056,1,33.56,0.15,28.53
OI-0000692,OR-000241,SKU-0048,6,24.84,0.00,149.04
OI-0000693,OR-000241,SKU-0028,2,34.65,0.00,69.30
OI-0000699,OR-000243,SKU-0033,1,37.17,0.00,37.17
OI-0000700,OR-000244,SKU-0017,6,9.51,0.00,57.06
OI-0000701,OR-000244,SKU-0010,1,37.20,0.10,33.48
OI-0000702,OR-000244,SKU-0012,3,40.02,0.00,120.06
OI-0000703,OR-000245,SKU-0035,2,22.53,0.15,38.30
OI-0000704,OR-000245,SKU-0035,6,22.53,0.00,135.18
OI-0000715,OR-000249,SKU-0053,3,10.85,0.15,27.67
OI-0000716,OR-000250,SKU-0053,4,10.85,0.15,36.89
OI-0000717,OR-000250,SKU-0058,1,45.65,0.00,45.65
OI-0000718,OR-000251,SKU-0023,3,8.40,0.00,25.20
OI-0000719,OR-000251,SKU-0014,2,43.57,0.00,87.14
OI-0000720,OR-000252,SKU-0055,5,7.92,0.15,33.66
OI-0000721,OR-000252,SKU-0023,5,8.40,0.00,42.00
OI-0000722,OR-000252,SKU-0042,5,36.89,0.10,166.00
OI-0000723,OR-000253,SKU-0055,2,7.92,0.00,15.84
OI-0000724,OR-000253,SKU-0026,6,21.39,0.00,128.34
OI-0000725,OR-000253,SKU-0023,4,8.40,0.05,31.92
OI-0000726,OR-000253,SKU-0013,1,12.69,0.00,12.69
OI-0000729,OR-000255,SKU-0034,5,24.16,0.10,108.72
OI-0000730,OR-000255,SKU-0030,5,47.21,0.00,236.05
OI-0000731,OR-000255,SKU-0002,3,15.08,0.15,38.45
OI-0000732,OR-000255,SKU-0024,2,21.04,0.10,37.87
OI-0000733,OR-000255,SKU-0058,1,45.65,0.00,45.65
OI-0000737,OR-000258,SKU-0002,6,15.08,0.15,76.91
OI-0000738,OR-000258,SKU-0018,5,3.17,0.10,14.27
OI-0000739,OR-000258,SKU-0020,4,31.62,0.05,120.16
OI-0000740,OR-000259,SKU-0017,2,9.51,0.00,19.02
OI-0000741,OR-000259,SKU-0044,3,26.37,0.00,79.11
OI-0000742,OR-000260,SKU-0026,4,21.39,0.00,85.56
OI-0000743,OR-000260,SKU-0001,1,14.26,0.00,14.26
OI-0000744,OR-000260,SKU-0031,2,13.79,0.05,26.20
OI-0000745,OR-000260,SKU-0005,1,42.53,0.00,42.53
OI-0000746,OR-000260,SKU-0051,5,14.92,0.00,74.60
OI-0000747,OR-000261,SKU-0013,4,12.69,0.00,50.76
OI-0000748,OR-000261,SKU-0024,5,21.04,0.00,105.20
OI-0000752,OR-000263,SKU-0003,6,8.35,0.10,45.09
OI-0000753,OR-000263,SKU-0023,3,8.40,0.10,22.68
OI-0000760,OR-000267,SKU-0005,1,42.53,0.05,40.40
OI-0000761,OR-000267,SKU-0053,3,10.85,0.00,32.55
OI-0000762,OR-000267,SKU-0031,2,13.79,0.10,24.82
OI-0000763,OR-000267,SKU-0010,1,37.20,0.10,33.48
OI-0000772,OR-000270,SKU-0025,2,33.88,0.00,67.76
OI-0000773,OR-000271,SKU-0006,1,20.40,0.00,20.40
OI-0000774,OR-000271,SKU-0035,1,22.53,0.00,22.53
OI-0000775,OR-000272,SKU-0009,2,33.65,0.00,67.30
OI-0000776,OR-000272,SKU-0045,2,16.47,0.05,31.29
OI-0000777,OR-000272,SKU-0058,1,45.65,0.15,38.80
OI-0000779,OR-000273,SKU-0042,1,36.89,0.00,36.89
OI-0000780,OR-000273,SKU-0011,3,30.63,0.00,91.89
OI-0000782,OR-000275,SKU-0058,6,45.65,0.15,232.81
OI-0000783,OR-000275,SKU-0051,3,14.92,0.10,40.28
OI-0000784,OR-000275,SKU-0045,6,16.47,0.05,93.88
OI-0000785,OR-000275,SKU-0012,3,40.02,0.00,120.06
OI-0000786,OR-000275,SKU-0048,4,24.84,0.00,99.36
OI-0000787,OR-000276,SKU-0036,1,13.87,0.00,13.87
OI-0000788,OR-000276,SKU-0009,2,33.65,0.05,63.93
OI-0000789,OR-000276,SKU-0012,5,40.02,0.00,200.10
OI-0000790,OR-000276,SKU-0044,6,26.37,0.00,158.22
OI-0000792,OR-000278,SKU-0001,4,14.26,0.15,48.48
OI-0000793,OR-000279,SKU-0003,1,8.35,0.00,8.35
OI-0000794,OR-000279,SKU-0045,2,16.47,0.05,31.29
OI-0000795,OR-000279,SKU-0013,5,12.69,0.00,63.45
OI-0000796,OR-000280,SKU-0008,5,1.97,0.15,8.37
OI-0000797,OR-000280,SKU-0044,6,26.37,0.10,142.40
