order_id,customer_id,store_id,order_date,status,channel,currency
OR-000165,CU-00047,ST-004,2026-01-15,returned,in_store,USD
OR-000166,CU-00160,ST-008,2026-01-15,shipped,web,USD
OR-000168,CU-00124,ST-004,2026-01-15,picked,mobile,USD
OR-000180,CU-00124,ST-004,2026-01-15,placed,web,USD
OR-000181,CU-00132,ST-008,2026-01-15,placed,in_store,USD
OR-000182,CU-00026,ST-001,2026-01-15,shipped,phone,USD
OR-000187,CU-00079,ST-008,2026-01-15,placed,in_store,USD
OR-000188,CU-00122,ST-002,2026-01-15,returned,phone,USD
OR-000190,CU-00088,ST-003,2026-01-15,delivered,web,USD
OR-000194,CU-00197,ST-002,2026-01-15,delivered,in_store,USD
OR-000196,CU-00124,ST-006,2026-01-15,shipped,in_store,USD
OR-000201,CU-00045,ST-004,2026-01-15,shipped,phone,USD
OR-000202,CU-00006,ST-005,2026-01-15,shipped,mobile,USD
OR-000203,CU-00100,ST-003,2026-01-15,returned,mobile,USD
OR-000205,CU-00047,ST-005,2026-01-15,delivered,web,USD
OR-000206,CU-00037,ST-003,2026-01-15,shipped,web,USD
OR-000207,CU-00057,ST-008,2026-01-15,picked,phone,USD
OR-000212,CU-00091,ST-001,2026-01-15,returned,mobile,USD
OR-000218,CU-00198,ST-007,2026-01-15,returned,in_store,USD
OR-000219,CU-00130,ST-001,2026-01-15,delivered,mobile,USD
OR-000221,CU-00156,ST-008,2026-01-15,delivered,web,USD
OR-000224,CU-00072,ST-007,2026-01-15,picked,in_store,USD
OR-000225,CU-00054,ST-003,2026-01-15,placed,phone,USD
OR-000226,CU-00145,ST-006,2026-01-15,picked,web,USD
OR-000229,CU-00039,ST-008,2026-01-15,shipped,phone,USD
OR-000230,CU-00079,ST-004,2026-01-15,picked,web,USD
OR-000232,CU-00079,ST-004,2026-01-15,returned,in_store,USD
OR-000236,CU-00007,ST-002,2026-01-15,shipped,web,USD
OR-000240,CU-00065,ST-006,2026-01-15,delivered,web,USD
OR-000242,CU-00030,ST-005,2026-01-15,returned,in_store,USD
OR-000246,CU-00026,ST-002,2026-01-15,picked,mobile,USD
OR-000247,CU-00128,ST-004,2026-01-15,picked,web,USD
OR-000248,CU-00130,ST-003,2026-01-15,placed,web,USD
OR-000254,CU-00186,ST-004,2026-01-15,returned,phone,USD
OR-000256,CU-00183,ST-006,2026-01-15,delivered,mobile,USD
OR-000257,CU-00195,ST-003,2026-01-15,shipped,phone,USD
OR-000262,CU-00091,ST-004,2026-01-15,picked,in_store,USD
OR-000264,CU-00030,ST-005,2026-01-15,placed,phone,USD
OR-000265,CU-00015,ST-008,2026-01-15,returned,in_store,USD
OR-000266,CU-00178,ST-001,2026-01-15,placed,web,USD
OR-000268,CU-00075,ST-003,2026-01-15,picked,mobile,USD
OR-000269,CU-00102,ST-002,2026-01-15,delivered,mobile,USD
OR-000274,CU-00017,ST-004,2026-01-15,delivered,in_store,USD
OR-000277,CU-00149,ST-004,2026-01-15,picked,web,USD
OR-000282,CU-00152,ST-008,2026-01-15,returned,mobile,USD
OR-000283,CU-00174,ST-001,2026-01-15,shipped,in_store,USD
OR-000284,CU-00093,ST-004,2026-01-15,picked,phone,USD
OR-000285,CU-00146,ST-005,2026-01-15,returned,web,USD
OR-000287,CU-00173,ST-003,2026-01-15,delivered,in_store,USD
OR-000289,CU-00196,ST-004,2026-01-15,placed,in_store,USD
OR-000290,CU-00021,ST-002,2026-01-15,shipped,in_store,USD
OR-000292,CU-00172,ST-003,2026-01-15,picked,web,USD
OR-000293,CU-00020,ST-002,2026-01-15,shipped,mobile,USD
OR-000294,CU-00143,ST-002,2026-01-15,placed,web,USD
OR-000295,CU-00053,ST-002,2026-01-15,placed,mobile,USD
OR-000296,CU-00105,ST-005,2026-01-15,shipped,mobile,USD
OR-000303,CU-00137,ST-007,2026-01-15,delivered,mobile,USD
OR-000304,CU-00114,ST-004,2026-01-15,placed,mobile,USD
OR-000305,CU-00051,ST-004,2026-01-15,placed,web,USD
OR-000306,CU-00053,ST-004,2026-01-15,placed,phone,USD
OR-000307,CU-00197,ST-008,2026-01-15,shipped,phone,USD
OR-000308,CU-00021,ST-005,2026-01-15,returned,phone,USD
OR-000309,CU-00031,ST-007,2026-01-15,returned,in_store,USD
OR-000310,CU-00184,ST-002,2026-01-15,shipped,mobile,USD
OR-000311,CU-00140,ST-003,2026-01-15,placed,mobile,USD
OR-000314,CU-00136,ST-005,2026-01-15,delivered,phone,USD
OR-000315,CU-00102,ST-005,2026-01-15,returned,phone,USD
OR-000316,CU-00137,ST-006,2026-01-15,shipped,mobile,USD
OR-000317,CU-00043,ST-004,2026-01-15,returned,phone,USD
OR-000319,CU-00107,ST-003,2026-01-15,returned,web,USD
OR-000320,CU-00127,ST-004,2026-01-15,placed,phone,USD
OR-000321,CU-00126,ST-003,2026-01-15,delivered,web,USD
OR-000322,CU-00144,ST-007,2026-01-15,returned,phone,USD
OR-000324,CU-00195,ST-005,2026-01-15,placed,web,USD
OR-000326,CU-00066,ST-004,2026-01-15,placed,mobile,USD
OR-000329,CU-00031,ST-002,2026-01-15,returned,mobile,USD
OR-000330,CU-00138,ST-007,2026-01-15,delivered,phone,USD
OR-000336,CU-00079,ST-005,2026-01-15,returned,web,USD
OR-000340,CU-00144,ST-003,2026-01-15,picked,in_store,USD
OR-000341,CU-00153,ST-008,2026-01-15,returned,in_store,USD
OR-000346,CU-00120,ST-007,2026-01-15,picked,in_store,USD
OR-000349,CU-00071,ST-004,2026-01-15,returned,in_store,USD
OR-000352,CU-00185,ST-005,2026-01-15,picked,in_store,USD
OR-000353,CU-00001,ST-004,2026-01-15,delivered,mobile,USD
OR-000355,CU-00122,ST-003,2026-01-15,picked,web,USD
OR-000357,CU-00096,ST-004,2026-01-15,returned,in_store,USD
OR-000358,CU-00135,ST-002,2026-01-15,returned,in_store,USD
OR-000359,CU-00186,ST-006,2026-01-15,delivered,web,USD
OR-000360,CU-00174,ST-004,2026-01-15,placed,mobile,USD
OR-000365,CU-00013,ST-004,2026-01-15,returned,web,USD
OR-000367,CU-00024,ST-002,2026-01-15,picked,phone,USD
OR-000369,CU-00161,ST-001,2026-01-15,delivered,web,USD
OR-000371,CU-00131,ST-008,2026-01-15,placed,mobile,USD
OR-000375,CU-00039,ST-004,2026-01-15,shipped,in_store,USD
OR-000377,CU-00083,ST-008,2026-01-15,delivered,in_store,USD
OR-000379,CU-00121,ST-001,2026-01-15,returned,phone,USD
OR-000382,CU-00011,ST-008,2026-01-15,delivered,mobile,USD
OR-000383,CU-00150,ST-002,2026-01-15,delivered,web,USD
OR-000384,CU-00159,ST-001,2026-01-15,picked,mobile,USD
OR-000387,CU-00155,ST-008,2026-01-15,returned,in_store,USD
OR-000389,CU-00020,ST-004,2026-01-15,picked,phone,USD
OR-000391,CU-00174,ST-008,2026-01-15,placed,web,USD
OR-000392,CU-00040,ST-008,2026-01-15,placed,phone,USD
OR-000393,CU-00007,ST-003,2026-01-15,picked,web,USD
OR-000394,CU-00081,ST-008,2026-01-15,placed,phone,USD
OR-000397,CU-00166,ST-002,2026-01-15,returned,mobile,USD
OR-000398,CU-00061,ST-003,2026-01-15,returned,mobile,USD
OR-000401,CU-00126,ST-001,2026-01-15,shipped,in_store,USD
OR-000403,CU-00177,ST-008,2026-01-15,delivered,in_store,USD
OR-000404,CU-00069,ST-006,2026-01-15,delivered,in_store,USD
OR-000405,CU-00169,ST-006,2026-01-15,delivered,web,USD
OR-000406,CU-00178,ST-001,2026-01-15,placed,mobile,USD
OR-000410,CU-00109,ST-004,2026-01-15,returned,in_store,USD
OR-000411,CU-00091,ST-004,2026-01-15,shipped,web,USD
OR-000413,CU-00171,ST-003,2026-01-15,delivered,in_store,USD
OR-000414,CU-00184,ST-007,2026-01-15,delivered,web,USD
OR-000415,CU-00164,ST-001,2026-01-15,shipped,mobile,USD
OR-000416,CU-00086,ST-007,2026-01-15,placed,in_store,USD
OR-000417,CU-00073,ST-005,2026-01-15,placed,mobile,USD
OR-000418,CU-00167,ST-004,2026-01-15,returned,mobile,USD
OR-000419,CU-00082,ST-002,2026-01-15,unknown,in_store,USD
OR-000420,CU-00179,ST-007,2026-01-15,delivered,phone,USD
OR-000422,CU-00031,ST-006,2026-01-15,picked,mobile,USD
OR-000423,CU-00129,ST-001,2026-01-15,returned,mobile,USD
OR-000425,CU-00138,ST-001,2026-01-15,shipped,mobile,USD
OR-000426,CU-00142,ST-003,2026-01-15,picked,phone,USD
OR-000428,CU-00010,ST-008,2026-01-15,placed,web,USD
OR-000429,CU-00166,ST-003,2026-01-15,delivered,phone,USD
OR-000430,CU-00170,ST-003,2026-01-15,picked,web,USD
OR-000432,CU-00156,ST-003,2026-01-15,shipped,mobile,USD
OR-000433,CU-00060,ST-005,2026-01-15,placed,phone,USD
OR-000435,CU-00049,ST-008,2026-01-15,shipped,mobile,USD
OR-000436,CU-00091,ST-006,2026-01-15,returned,in_store,USD
OR-000437,CU-00058,ST-003,2026-01-15,delivered,phone,USD
OR-000439,CU-00053,ST-005,2026-01-15,delivered,web,USD
OR-000440,CU-00027,ST-005,2026-01-15,returned,phone,USD
OR-000441,CU-00048,ST-001,2026-01-15,placed,mobile,USD
OR-000443,CU-00040,ST-006,2026-01-15,shipped,mobile,USD
OR-000445,CU-00144,ST-005,2026-01-15,shipped,phone,USD
OR-000450,CU-00009,ST-008,2026-01-15,picked,mobile,USD
OR-000451,CU-00092,ST-006,2026-01-15,delivered,phone,USD
OR-000453,CU-00183,ST-006,2026-01-15,placed,in_store,USD
OR-000455,CU-00064,ST-004,2026-01-15,picked,mobile,USD
OR-000458,CU-00041,ST-001,2026-01-15,placed,in_store,USD
OR-000460,CU-00168,ST-005,2026-01-15,picked,mobile,USD
OR-000462,CU-00033,ST-005,2026-01-15,picked,phone,USD
OR-000463,CU-00101,ST-007,2026-01-15,shipped,web,USD
OR-000464,CU-00083,ST-007,2026-01-15,returned,mobile,USD
OR-000465,CU-00186,ST-008,2026-01-15,returned,phone,USD
OR-000467,CU-00168,ST-008,2026-01-15,delivered,phone,USD
OR-000469,CU-00107,ST-006,2026-01-15,shipped,in_store,USD
OR-000471,CU-00122,ST-001,,picked,mobile,USD
OR-000472,CU-00191,ST-008,2026-01-15,delivered,phone,USD
OR-000476,CU-00115,ST-002,2026-01-15,picked,web,USD
OR-000479,CU-00119,ST-008,2026-01-15,picked,mobile,USD
OR-000481,CU-00150,ST-007,2026-01-15,placed,web,USD
OR-000482,CU-00119,ST-005,2026-01-15,placed,phone,USD
OR-000483,CU-00162,ST-005,2026-01-15,placed,web,USD
OR-000485,CU-00174,ST-002,2026-01-15,delivered,in_store,USD
OR-000489,CU-00084,ST-006,2026-01-15,delivered,web,USD
OR-000490,CU-00168,ST-006,2026-01-15,returned,web,USD
OR-000491,CU-00015,ST-003,2026-01-15,picked,mobile,USD
OR-000495,CU-00075,ST-002,2026-01-15,placed,mobile,USD
OR-000497,CU-00167,ST-003,2026-01-15,delivered,phone,USD
OR-000498,CU-00168,ST-001,2026-01-15,shipped,in_store,USD
OR-000499,CU-00060,ST-008,2026-01-15,placed,web,USD
OR-000503,CU-00062,ST-002,2026-01-15,shipped,in_store,USD
OR-000504,CU-00111,ST-003,2026-01-15,picked,web,USD
OR-000505,CU-00156,ST-001,2026-01-15,picked,web,USD
OR-000508,CU-00115,ST-005,2026-01-15,delivered,in_store,USD
OR-000511,CU-00175,ST-006,2026-01-15,delivered,web,USD
OR-000512,CU-00036,ST-005,2026-01-15,placed,phone,USD
OR-000517,CU-00046,ST-001,2026-01-15,placed,in_store,USD
OR-000520,CU-00098,ST-008,2026-01-15,picked,web,USD
OR-000521,CU-00077,ST-007,2026-01-15,returned,in_store,USD
OR-000522,CU-00064,ST-004,2026-01-15,picked,phone,USD
OR-000523,CU-90003,ST-004,2026-01-15,shipped,mobile,USD
OR-000524,CU-00152,ST-002,2026-01-15,returned,in_store,USD
OR-000526,CU-00075,ST-007,2026-01-15,placed,mobile,USD
OR-000527,CU-00092,ST-007,2026-01-15,returned,mobile,USD
OR-000530,CU-00033,ST-008,2026-01-15,shipped,phone,USD
OR-000531,CU-00140,ST-007,2026-01-15,returned,mobile,USD
OR-000536,CU-00047,ST-006,2026-01-15,picked,web,USD
OR-000537,CU-00043,ST-006,2026-01-15,picked,phone,USD
OR-000538,CU-00004,ST-008,2026-01-15,placed,in_store,USD
OR-000539,CU-00139,ST-002,2026-01-15,delivered,phone,USD
OR-000540,CU-00124,ST-004,2026-01-15,shipped,web,USD
OR-000542,CU-00031,ST-004,2026-01-15,shipped,mobile,USD
OR-000543,CU-00063,ST-001,2026-01-15,returned,mobile,USD
OR-000546,CU-00009,ST-007,2026-01-15,picked,in_store,USD
OR-000547,CU-00042,ST-003,2026-01-15,shipped,web,USD
OR-000549,CU-00149,ST-005,2026-01-15,picked,phone,USD
OR-000554,CU-00050,ST-007,2026-01-15,shipped,mobile,USD
OR-000557,CU-00167,ST-004,2026-01-15,picked,phone,USD
OR-000558,CU-00038,ST-008,2026-01-15,shipped,in_store,USD
OR-000560,CU-00187,ST-007,2026-01-15,shipped,mobile,USD
OR-000561,CU-00157,ST-007,2026-01-15,placed,web,USD
OR-000567,CU-00177,ST-002,2026-01-15,picked,phone,USD
OR-000571,CU-00097,ST-002,2026-01-15,picked,mobile,USD
OR-000575,CU-00191,ST-002,2026-01-15,picked,mobile,USD
OR-000577,CU-00196,ST-007,2026-01-15,placed,phone,USD
OR-000580,CU-00062,ST-008,2026-01-15,shipped,web,USD
OR-000585,CU-00189,ST-002,2026-01-15,placed,in_store,USD
OR-000586,CU-00054,ST-001,2026-01-15,shipped,web,USD
OR-000589,CU-00096,ST-008,2026-01-15,delivered,in_store,USD
OR-000592,CU-00089,ST-008,2026-01-15,shipped,in_store,USD
OR-000593,CU-00013,ST-006,2026-01-15,returned,mobile,USD
OR-000595,CU-00008,ST-004,2026-01-15,shipped,web,USD
OR-000596,CU-00186,ST-002,2026-01-15,shipped,web,USD
OR-000597,CU-00024,ST-005,2026-01-15,returned,in_store,USD
OR-000602,CU-00157,ST-004,2026-01-15,returned,phone,USD
OR-000603,CU-00155,ST-006,2026-01-15,placed,in_store,USD
OR-000606,CU-00159,ST-003,2026-01-15,placed,phone,USD
OR-000607,CU-00064,ST-002,2026-01-15,picked,phone,USD
OR-000608,CU-00011,ST-001,2026-01-15,shipped,web,USD
OR-000611,CU-00152,ST-003,2026-01-15,returned,in_store,USD
OR-000614,CU-00017,ST-004,2026-01-15,placed,web,USD
OR-000615,CU-00129,ST-001,2026-01-15,returned,in_store,USD
OR-000616,CU-00176,ST-002,2026-01-15,shipped,in_store,USD
OR-000618,CU-00131,ST-002,2026-01-15,shipped,in_store,USD
OR-000620,CU-00032,ST-001,2026-01-15,delivered,mobile,USD
OR-000621,CU-00149,ST-006,2026-01-15,delivered,mobile,USD
OR-000626,CU-00158,ST-003,2026-01-15,returned,web,USD
OR-000629,CU-00033,ST-002,2026-01-15,picked,in_store,USD
OR-000631,CU-00126,ST-006,2026-01-15,picked,mobile,USD
OR-000633,CU-00148,ST-007,2026-01-15,placed,in_store,USD
OR-000634,CU-00167,ST-007,2026-01-15,placed,web,USD
OR-000635,CU-00096,ST-002,2026-01-15,picked,in_store,USD
OR-000639,CU-00053,ST-007,2026-01-15,picked,phone,USD
OR-000640,CU-00036,ST-001,2026-01-15,picked,in_store,USD
OR-000641,CU-00132,ST-007,2026-01-15,picked,web,USD
OR-000642,CU-00094,ST-007,2026-01-15,placed,in_store,USD
OR-000643,CU-00175,ST-007,2026-01-15,returned,web,USD
OR-000644,CU-00193,ST-001,2026-01-15,placed,in_store,USD
OR-000645,CU-00057,ST-007,2026-01-15,returned,in_store,USD
OR-000646,CU-00015,ST-006,2026-01-15,returned,mobile,USD
OR-000649,CU-00038,ST-008,2026-01-15,placed,mobile,USD
OR-000652,CU-00071,ST-007,2026-01-15,placed,web,USD
OR-000655,CU-00022,ST-007,2026-01-15,shipped,in_store,USD
OR-000657,CU-00072,ST-004,2026-01-15,returned,web,USD
OR-000659,CU-00097,ST-006,2026-01-15,shipped,web,USD
OR-000660,CU-00174,ST-002,2026-01-15,returned,in_store,USD
OR-000661,CU-00099,ST-006,2026-01-15,delivered,phone,USD
OR-000663,CU-00102,ST-003,2026-01-15,shipped,web,USD
OR-000665,CU-00053,ST-002,2026-01-15,shipped,mobile,USD
OR-000667,CU-00175,ST-004,2026-01-15,shipped,phone,USD
OR-000668,CU-00074,ST-007,2026-01-15,picked,phone,USD
OR-000669,CU-00094,ST-008,2026-01-15,picked,web,USD
OR-000670,CU-00195,ST-004,2026-01-15,placed,in_store,USD
OR-000671,CU-00142,ST-003,2026-01-15,placed,web,USD
OR-000673,CU-00091,ST-008,2026-01-15,delivered,mobile,USD
OR-000674,CU-00110,ST-003,2026-01-15,shipped,in_store,USD
OR-000676,CU-00081,ST-002,2026-01-15,returned,web,USD
OR-000677,CU-00080,ST-005,2026-01-15,shipped,in_store,USD
OR-000678,CU-00062,ST-002,2026-01-15,returned,phone,USD
OR-000680,CU-00141,ST-004,2026-01-15,shipped,web,USD
OR-000681,CU-00161,ST-001,2026-01-15,picked,phone,USD
OR-000682,CU-00141,ST-001,2026-01-15,delivered,phone,USD
OR-000686,CU-00007,ST-001,2026-01-15,delivered,web,USD
OR-000687,CU-00173,ST-002,2026-01-15,picked,in_store,USD
OR-000689,CU-00104,ST-006,2026-01-15,picked,in_store,USD
OR-000693,CU-00101,ST-004,2026-01-15,returned,web,USD
OR-000696,CU-00074,ST-004,2026-01-15,placed,web,USD
OR-000699,CU-00059,ST-001,2026-01-15,shipped,web,USD
OR-000700,CU-00127,ST-001,2026-01-15,placed,in_store,USD
OR-000701,CU-00191,ST-002,2026-01-15,delivered,web,USD
OR-000704,CU-00161,ST-003,2026-01-15,placed,mobile,USD
OR-000705,CU-00094,ST-006,2026-01-15,delivered,web,USD
OR-000706,CU-00051,ST-002,2026-01-15,shipped,web,USD
OR-000707,CU-00064,ST-001,2026-01-15,delivered,web,USD
OR-000708,CU-00057,ST-004,2026-01-15,picked,web,USD
OR-000709,CU-00013,ST-002,2026-01-15,returned,mobile,USD
OR-000711,CU-00166,ST-001,2026-01-15,delivered,phone,USD
OR-000716,CU-00176,ST-007,2026-01-15,picked,in_store,USD
OR-000718,CU-00167,ST-002,2026-01-15,returned,mobile,USD
OR-000719,CU-00116,ST-005,2026-01-15,placed,in_store,USD
OR-000724,CU-00137,ST-006,2026-01-15,shipped,mobile,USD
OR-000725,CU-00032,ST-002,2026-01-15,returned,mobile,USD
OR-000728,CU-00155,ST-006,2026-01-15,delivered,web,USD
OR-000733,CU-00134,ST-003,2026-01-15,picked,web,USD
OR-000736,CU-00098,ST-006,2026-01-15,picked,mobile,USD
OR-000737,CU-00025,ST-002,2026-01-15,shipped,web,USD
OR-000738,CU-00006,ST-001,2026-01-15,picked,mobile,USD
OR-000739,CU-00114,ST-008,2026-01-15,shipped,mobile,USD
OR-000740,CU-00067,ST-004,2026-01-15,placed,mobile,USD
OR-000743,CU-00015,ST-004,2026-01-15,returned,phone,USD
OR-000744,CU-00006,ST-006,2026-01-15,returned,mobile,USD
OR-000746,CU-00110,ST-008,2026-01-15,picked,phone,USD
OR-000747,CU-00050,ST-001,2026-01-15,placed,phone,USD
OR-000748,CU-00196,ST-008,2026-01-15,returned,in_store,USD
OR-000749,CU-00155,ST-008,2026-01-15,picked,web,USD
OR-000751,CU-00070,ST-005,2026-01-15,placed,phone,USD
OR-000754,CU-00029,ST-006,2026-01-15,placed,in_store,USD
OR-000755,CU-00053,ST-005,2026-01-15,returned,mobile,USD
OR-000762,CU-00126,ST-001,2026-01-15,shipped,in_store,USD
OR-000764,CU-00174,ST-008,2026-01-15,delivered,web,USD
OR-000765,CU-00065,ST-006,2026-01-15,delivered,mobile,USD
OR-000767,CU-00164,ST-007,2026-01-15,shipped,web,USD
OR-000768,CU-00170,ST-001,2026-01-15,placed,web,USD
OR-000770,CU-00173,ST-008,2026-01-15,placed,in_store,USD
OR-000774,CU-00089,ST-002,2026-01-15,placed,mobile,USD
OR-000775,CU-00100,ST-003,2026-01-15,returned,phone,USD
OR-000777,CU-00126,ST-008,2026-01-15,shipped,mobile,USD
OR-000779,CU-00043,ST-002,2026-01-15,placed,in_store,USD
OR-000780,CU-00118,ST-001,2026-01-15,picked,web,USD
OR-000783,CU-00128,ST-001,2026-01-15,shipped,phone,USD
OR-000785,CU-00178,ST-008,2026-01-15,picked,phone,USD
OR-000789,CU-00023,ST-008,2026-01-15,delivered,phone,USD
OR-000791,CU-00039,ST-003,2026-01-15,shipped,in_store,USD
OR-000792,CU-00097,ST-004,2026-01-15,picked,mobile,USD
OR-000794,CU-00072,ST-003,2026-01-15,shipped,in_store,USD
OR-000798,CU-00062,ST-006,2026-01-15,delivered,phone,USD
